Date,Counter Party,Reference,Type,Amount (GBP),Balance (GBP),Spending Category,Notes
01/01/2024,Starling Bank,December Interest Earned,DEPOSIT INTEREST,5.86,1626.68,INCOME,
23/01/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-38.26,1588.42,BILLS_AND_SERVICES,
23/01/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-38.26,1550.16,BILLS_AND_SERVICES,
23/01/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-38.26,1511.90,BILLS_AND_SERVICES,
25/01/2024,Manual,Manual,CARD SUBSCRIPTION,-139.00,1372.90,GENERAL,
27/01/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-26.41,1346.49,BILLS_AND_SERVICES,
01/02/2024,Starling Bank,January Interest Earned,DEPOSIT INTEREST,4.22,1350.71,INCOME,
09/02/2024,Steam,STEAMGAMES.COM 4259522,ONLINE PAYMENT,-14.41,1336.30,ENTERTAINMENT,
14/02/2024,Steam,STEAM PURCHASE        ,ONLINE PAYMENT,-29.50,1306.80,ENTERTAINMENT,
21/02/2024,Manual,Manual,CARD SUBSCRIPTION,-229.00,1077.80,GENERAL,
23/02/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-38.51,1039.29,BILLS_AND_SERVICES,
23/02/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-38.51,1000.78,BILLS_AND_SERVICES,
25/02/2024,Steam,STEAMGAMES.COM 4259522,ONLINE PAYMENT,-9.99,990.79,ENTERTAINMENT,
26/02/2024,Steam,STEAMGAMES.COM 4259522,ONLINE PAYMENT,-569.00,421.79,ENTERTAINMENT,
27/02/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-26.43,395.36,BILLS_AND_SERVICES,
27/02/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-13.22,382.14,BILLS_AND_SERVICES,
27/02/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-13.22,368.92,BILLS_AND_SERVICES,
27/02/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-13.22,355.70,BILLS_AND_SERVICES,
27/02/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-13.22,342.48,BILLS_AND_SERVICES,
29/02/2024,Stephen Couratier & Jennifer Lees,Project,TRANSFER,200.00,542.48,INCOME,
01/03/2024,Starling Bank,February Interest Earned,DEPOSIT INTEREST,2.93,545.41,INCOME,
01/03/2024,Horsham,HORSHAM - NON STOP PA,APPLE PAY,-89.40,456.01,SHOPPING,
19/03/2024,Manual,Manual,CARD SUBSCRIPTION,-229.00,227.01,GENERAL,
23/03/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-38.19,188.82,BILLS_AND_SERVICES,
23/03/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-38.19,150.63,BILLS_AND_SERVICES,
27/03/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-26.57,124.06,BILLS_AND_SERVICES,
27/03/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-26.57,97.49,BILLS_AND_SERVICES,
27/03/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-26.57,70.92,BILLS_AND_SERVICES,
27/03/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-26.57,44.35,BILLS_AND_SERVICES,
27/03/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-26.57,17.78,BILLS_AND_SERVICES,
01/04/2024,Starling Bank,March Interest Earned,DEPOSIT INTEREST,0.86,18.64,INCOME,
12/04/2024,COURATIER S,Move it,FASTER PAYMENT,1985.00,2003.64,INCOME,
14/04/2024,Manual,Manual,CARD SUBSCRIPTION,-279.00,1724.64,GENERAL,
22/04/2024,Sp Blizzard Gear Us,SP BLIZZARD GEAR US,ONLINE PAYMENT,-224.06,1500.58,SHOPPING,
23/04/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-39.10,1461.48,BILLS_AND_SERVICES,
23/04/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-39.10,1422.38,BILLS_AND_SERVICES,
27/04/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-26.89,1395.49,BILLS_AND_SERVICES,
27/04/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-26.89,1368.60,BILLS_AND_SERVICES,
27/04/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-26.89,1341.71,BILLS_AND_SERVICES,
27/04/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-112.73,1228.98,BILLS_AND_SERVICES,
27/04/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-112.73,1116.25,BILLS_AND_SERVICES,
01/05/2024,Starling Bank,April Interest Earned,DEPOSIT INTEREST,2.59,1118.84,INCOME,
02/05/2024,Manual,Manual,CARD SUBSCRIPTION,-329.00,789.84,GENERAL,
26/05/2024,Blizz Us670670057,BLIZZARD *US723572217 ,ONLINE PAYMENT,-18.49,771.35,SHOPPING,
26/05/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-26.35,745.00,BILLS_AND_SERVICES,
26/05/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-26.35,718.65,BILLS_AND_SERVICES,
26/05/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-26.35,692.30,BILLS_AND_SERVICES,
01/06/2024,Starling Bank,May Interest Earned,DEPOSIT INTEREST,2.12,694.42,INCOME,
14/06/2024,Manual,Manual,CARD SUBSCRIPTION,-329.00,365.42,GENERAL,
14/06/2024,Manual,Manual,CARD SUBSCRIPTION,82.25,447.67,GENERAL,
27/06/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-26.45,421.22,BILLS_AND_SERVICES,
27/06/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-26.45,394.77,BILLS_AND_SERVICES,
27/06/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-26.45,368.32,BILLS_AND_SERVICES,
27/06/2024,Steam,STEAMGAMES.COM 4259522,ONLINE PAYMENT,-6.83,361.49,ENTERTAINMENT,
27/06/2024,Stephen Couratier & Jennifer Lees,Percent,TRANSFER,5000.00,5361.49,INCOME,
01/07/2024,Starling Bank,June Interest Earned,DEPOSIT INTEREST,3.05,5364.54,INCOME,
02/07/2024,Steam,STEAMGAMES.COM 4259522,ONLINE PAYMENT,-12.49,5352.05,ENTERTAINMENT,
11/07/2024,Manual,Manual,CARD SUBSCRIPTION,-329.00,5023.05,GENERAL,
15/07/2024,Steam,STEAM PURCHASE        ,ONLINE PAYMENT,-42.53,4980.52,ENTERTAINMENT,
16/07/2024,Softkeys-Uk,SOFTKEYS-UK,ONLINE PAYMENT,-9.99,4970.53,SHOPPING,
22/07/2024,Steam,STEAM PURCHASE        ,ONLINE PAYMENT,-19.99,4950.54,ENTERTAINMENT,
27/07/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-25.94,4924.60,BILLS_AND_SERVICES,
27/07/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-25.94,4898.66,BILLS_AND_SERVICES,
27/07/2024,Apextraderfunding,APEXTRADERFUNDING,ONLINE PAYMENT,-25.94,4872.72,BILLS_AND_SERVICES,
01/08/2024,Starling Bank,July Interest Earned,DEPOSIT INTEREST,13.47,4886.19,INCOME,
